id,tested_positive
558,25.506811
559,18.493986
560,10.6125965
561,11.615318
562,22.799212
563,18.807516
564,23.784267
565,10.60088
566,22.042042
567,26.277693
568,4.5944767
569,26.337955
570,13.3457985
571,17.135458
572,28.691654
573,23.55108
574,3.7259004
575,19.234934
576,25.170725
577,34.095486
578,18.618092
579,20.597366
580,11.4272785
581,8.34981
582,12.226688
583,8.530077
584,16.782803
585,8.992413
586,32.701637
587,12.206947
588,5.2735043
589,10.494261
590,11.678841
591,23.460602
592,20.998259
593,31.832464
594,29.754993
595,31.773735
596,9.686518
597,12.754541
598,23.420628
599,24.933357
600,6.7006135
601,8.9713545
602,16.6628
603,18.734798
604,18.947603
605,22.615152
606,17.462543
607,29.110863
608,14.507719
609,23.456263
610,5.5915256
611,16.050295
612,9.355313
613,28.246819
614,24.695663
615,9.831781
616,23.797428
617,12.98407
618,19.291328
619,9.519678
620,6.522099
621,14.754126
622,9.792545
623,24.13019
624,11.642498
625,26.385544
626,14.559641
627,16.531696
628,18.62022
629,9.270529
630,29.446644
631,18.302692
632,29.316172
633,25.456131
634,20.172592
635,10.566507
636,17.279797
637,11.227015
638,19.200027
639,19.992006
640,9.186754
641,10.727852
642,25.94807
643,32.37273
644,22.430574
645,28.857815
646,6.3489194
647,24.784327
648,3.5247924
649,12.775564
650,14.504637
651,17.207808
652,11.2890835
653,12.368759
654,15.318693
655,15.191668
656,13.540041
657,30.649965
658,12.290409
659,3.802255
660,28.284779
661,26.186153
662,8.165163
663,10.123358
664,9.990942
665,5.134035
666,24.506496
667,9.567177
668,21.858957
669,22.370037
670,11.508242
671,5.570274
672,7.5352607
673,15.809517
674,3.3826027
675,14.052191
676,22.561964
677,25.356762
678,17.08139
679,11.015667
680,15.275503
681,10.8845215
682,16.380627
683,20.059195
684,3.398587
685,28.46575
686,18.257343
687,13.921717
688,5.4677973
689,12.447552
690,18.08728
691,7.943518
692,14.844563
693,2.5029516
694,3.1355505
695,10.028549
696,22.092796
697,30.827122
698,28.54803
699,4.7647753
700,6.4368896
701,2.1954339
702,19.168024
703,17.762613
704,28.928051
705,5.9973426
706,17.57182
707,4.6915174
708,11.136318
709,12.874691
710,20.5914
711,8.311491
712,24.110212
713,10.298355
714,4.240526
715,3.2144027
716,9.132587
717,21.202953
718,12.354599
719,21.78416
720,7.6257706
721,3.9225795
722,20.15319
723,25.386915
724,6.989076
725,19.135237
726,3.040978
727,12.639942
728,6.320964
729,17.237617
730,7.628529
731,7.3514643
732,21.440216
733,6.4623523
734,21.374645
735,15.52273
736,5.437891
737,21.546766
738,6.2756495
739,24.77874
740,17.643604
741,17.306934
742,10.726614
743,24.67652
744,14.072281
745,13.10841
746,27.747
747,29.029545
748,17.22599
749,7.437511
750,7.0862966
751,24.287844
752,6.100198
753,10.613892
754,20.391428
755,20.4456
756,19.986094
757,17.086329
758,11.2666
759,9.355424
760,15.012484
761,9.637926
762,5.1403995
763,24.949095
764,30.367495
765,23.084812
766,20.17857
767,7.6130157
768,12.624809
769,14.059528
770,17.444061
771,11.750359
772,25.021957
773,18.197094
774,4.7827415
775,10.377853
776,22.815601
777,21.4604
778,17.670021
779,12.670509
780,22.31546
781,31.378216
782,16.628962
783,20.564022
784,9.8755455
785,5.173351
786,6.0257545
787,20.480387
788,22.550495
789,14.717823
790,19.906464
791,7.4618764
792,13.004213
793,14.921001
794,10.104652
795,20.038036
796,12.953867
797,12.826418
798,6.5870047
799,15.99486
800,12.786478
801,11.298031
802,8.239561
803,11.4058
804,12.886171
805,21.96093
806,10.884539
807,19.92656
808,21.070766
809,28.257318
810,13.2340145
811,18.202347
812,14.342508
813,16.684998
814,7.624178
815,3.2007575
816,5.635223
817,15.546242
818,30.154058
819,7.4149604
820,23.842241
821,15.538931
822,15.590242
823,18.831722
824,24.065208
825,3.8694382
826,9.063793
827,19.975306
828,20.889397
829,15.542713
830,17.653553
831,3.1231818
832,12.665205
833,11.999102
834,13.440815
835,28.583866
836,12.400774
837,17.596455
838,21.557594
839,18.31857
840,19.518782
841,37.623486
842,32.587727
843,18.199245
844,19.209408
845,6.4844933
846,13.3362255
847,16.821184
848,8.22439
849,12.864084
850,5.3236523
851,5.3506737
852,5.7075396
853,9.143659
854,6.1293178
855,23.4237
856,22.485924
857,20.492798
858,7.161094
859,13.562616
860,20.290829
861,20.258442
862,22.389566
863,22.295773
864,12.877075
865,6.098164
866,8.499535
867,9.084669
868,24.241734
869,24.165918
870,8.223898
871,11.211321
872,14.285112
873,32.980854
874,28.295437
875,17.869564
876,18.637348
877,11.336527
878,18.331217
879,16.811749
880,7.0183024
881,12.667526
882,9.004114
883,13.413607
884,27.503796
885,14.98188
886,30.71414
887,18.69484
888,13.364588
889,4.1350126
890,31.825253
891,25.81748
892,17.979137
